Name,Stage_started,Stage_ended,Final_pos
Fluxo,1,1,31st-32nd
Metizport,1,1,31st-32nd
Legacy,1,3,9th-11th
Imperial Esports,1,1,28th-30th
Chinggis Warriors,1,1,28th-30th
OG,1,2,23rd-24th
FlyQuest,1,1,25th-27th
Wildcard,1,1,25th-27th
Lynn Vision Gaming,1,3,12th-14th
TYLOO,1,2,20th-22nd
BetBoom Team,1,2,23rd-24th
B8,1,2,17th-19th
HEROIC,1,2,17th-19th
Complexity,1,1,28th-30th
M80,2,2,20th-22th
MIBR,2,2,17th-19th
FURIA,2,Playoffs ,5th-8th
paIN Gaming,2,Playoffs ,3rd-4th
Virtus.pro,2,3,9th-11th
3DMAX,2,3,12th-14th
FaZe Clan,2,Playoffs ,5th-8th
Team Falcons,2,2,20th-22th
Team Liquid,3,3,15th-16th
Natus Vincere,3,Playoffs ,5th-8th
Aurora Gaming,3,3,12th-14th
The MongolZ,3,Playoffs ,2nd
G2 Esports,3,3,9th-11th
Team Spirit,3,Playoffs ,5th-8th
MOUZ,3,Playoffs ,3rd-4th
Team Vitality,3,Playoffs ,1st
Nemiga Gaming,1,3,15th-16th
NRG,1,1,25th-27th
